UID	Code	Locale	Singular	Plural
1	administration	es	Administración	Administraciones
2	administrative atoll	es	Atolón administrativo	Atolones administrativos
3	administrative region	es	Región administrativa	Regiones administrativas
4	administrative territory	es	Territorio administrativo	Territorios administrativos
5	apo	es	Oficina postal de las Fuerzas Aéreas de EEUU	Oficinas postales de las Fuerzas Aéreas de EEUU
6	arctic region	es	Región ártica	Regiones árticas
7	area	es	Área	Áreas
8	autonomous city	es	Ciudad autónoma	Ciudades autónomas
9	autonomous community	es	Comunidad autónoma	Comunidades autónomas
10	autonomous district	es	Distrito autónomo	Distritos autónomos
11	autonomous municipality	es	Municipio autónomo	Municipios autónomos
12	autonomous province	es	Provincia autónoma	Provincias autónomas
13	autonomous region	es	Región autónoma	Regiones autónomas
14	autonomous republic	es	República autónoma	Repúblicas autónomas
15	autonomous sector	es	Sector autónomo	Sectores autónomos
16	autonomous territorial unit	es	Unidad territorial autónoma	Unidades territoriales autónomas
17	borough	es	Municipalidad	Municipalidades
18	canton	es	Cantón	Cantones
19	capital city	es	Ciudad capital	Ciudades capitales
20	capital district	es	Distrito capital	Distritos capitales
21	capital metropolitan city	es	Ciudad capital metropolitana	Ciudades capitales metropolitanas
22	capital territory	es	Territorio capital	Territorios capitales
23	chains (of islands)	es	Cadena (de islas)	Cadenas (de islas)
24	city	es	Ciudad	Ciudades
25	city corporation	es	Corporación de la ciudad	Corporaciones de la ciudad
26	city with county rights	es	Ciudad con derechos de condado	Ciudades con derechos de condado
27	commune	es	Comuna	Comunas
28	constitutional province	es	Provincia constitucional	Provincias constitucionales
29	council area	es	Área del consejo	Áreas del consejo
30	country	es	País	Países
31	county	es	Condado	Condados
32	department	es	Departamento	Departamentos
33	dependency	es	Dependencia	Dependencias
34	development region	es	Región de desarrollo	Regiones de desarrollo
35	district	es	Distrito	Distritos
36	district council area	es	Distrito del área del consejo	Distritos del área del consejo
37	division	es	División	Divisiones
38	economic prefecture	es	Prefectura económica	Prefecturas económicas
39	economic region	es	Región económica	Regións económicas
40	emirate	es	Emirato	Emiratos
41	entity	es	Entidad	Entidades
42	federal dependency	es	Dependencia federal	Dependencias federales
43	federal district	es	Distrito federal	Distritos federales
44	federal territories	es	Territorios federales	Territorios federales
45	geographical entity	es	Entidad geográfica	Entidades geográficas
46	geographical region	es	Región geográfica	Regiones geográficas
47	geographical unit	es	Unidad geográfica	Unidades geográficas
48	governorate	es	Gobernación	Gobernaciones
49	included for completeness	es	Incluido por completitud	Incluidos por completitud
50	indigenous region	es	Región indígena	Regiones indígenas
51	island	es	Islas	Islas
52	island council	es	Consejo insular	Consejos insulares
53	island group	es	Grupo de islas	Grupos de islas
54	local council	es	Consejo local	Consejos locales
55	london borough	es	Municipalidad londinense	Municipalidades londinenses
56	metropolitan cities	es	Ciudades metropolitanas	Ciudades metropolitanas
57	metropolitan department	es	Departamento metropolitano	Departamentos metropolitanos
58	metropolitan district	es	Distrito metropolitano	Distritos metropolitanos
59	metropolitan region	es	Región metropolitana	Regiones metropolitanas
60	municipalities	es	Municipalidades	Municipalidades
61	municipality	es	Municipalidad	Municipalidades
62	oblast	es	Óblast	Óblast
63	outlying area	es	Área periférica	Áreas periféricas
64	overseas region/department	es	Región de ultramar	Regiones de ultramar
65	overseas territorial collectivity	es	Territorio de ultramar	Territorios de ultramar
66	parish	es	Parroquia	Parroquias
67	popularates	es	Distrito	Distritos
68	prefecture	es	Prefectura	Prefecturas
69	province	es	Provincia	Provincias
70	quarter	es	Distrito	Distritos
71	rayon	es	Rayón	Rayones
72	region	es	Región	Regiones
73	regional council	es	Consejo regional	Consejos regionales
74	republic	es	República	Repúblicas
75	republican city	es	Ciudad republicana	Ciudades republicanas
76	self-governed part	es	Parte autogobernada	Partes autogobernadas
77	special administrative region	es	Región administrativa especial	Regiones administrativas especiales
78	special city	es	Ciudad especial	Ciudades especiales
79	special district	es	Distrito especial	Distritos especiales
80	special island authority	es	Autoridad insular especial	Autoridades insulares especiales
81	special municipality	es	Municipalidad especial	Municipalidades especiales
82	special region	es	Región especial	Regiones especiales
83	special zone	es	Zona especial	Zonas especiales
84	state	es	Estado	Estados
85	territorial unit	es	Unidad territorial	Unidades territoriales
86	territory	es	Territorio	Territorios
87	town council	es	Consejo municipal	Consejos municipales
88	two-tier county	es	Condado metropolitano de dos niveles	Condados metropolitanos de dos niveles
89	union territory	es	Territorio de la Unión	Territorios de la Unión
90	unitary authority	es	Autoridad unitaria	Autoridades unitarias
91	unitary authority (england)	es	Autoridad unitaria (Inglaterra)	Autoridades unitarias (Inglaterra)
92	unitary authority (wales)	es	Autoridad unitaria (Gales)	Autoridades unitarias (Gales)
93	zone	es	Zona	Zonas
