UID	Encoding	Code
AD	ISO-3166-1-a2	AD
AE	ISO-3166-1-a2	AE
AF	ISO-3166-1-a2	AF
AG	ISO-3166-1-a2	AG
AI	ISO-3166-1-a2	AI
AL	ISO-3166-1-a2	AL
AM	ISO-3166-1-a2	AM
AO	ISO-3166-1-a2	AO
AQ	ISO-3166-1-a2	AQ
AR	ISO-3166-1-a2	AR
AS	ISO-3166-1-a2	AS
AT	ISO-3166-1-a2	AT
AU	ISO-3166-1-a2	AU
AW	ISO-3166-1-a2	AW
AX	ISO-3166-1-a2	AX
AZ	ISO-3166-1-a2	AZ
BA	ISO-3166-1-a2	BA
BB	ISO-3166-1-a2	BB
BD	ISO-3166-1-a2	BD
BE	ISO-3166-1-a2	BE
BF	ISO-3166-1-a2	BF
BG	ISO-3166-1-a2	BG
BH	ISO-3166-1-a2	BH
BI	ISO-3166-1-a2	BI
BJ	ISO-3166-1-a2	BJ
BL	ISO-3166-1-a2	BL
BM	ISO-3166-1-a2	BM
BN	ISO-3166-1-a2	BN
BO	ISO-3166-1-a2	BO
BQ	ISO-3166-1-a2	BQ
BR	ISO-3166-1-a2	BR
BS	ISO-3166-1-a2	BS
BT	ISO-3166-1-a2	BT
BV	ISO-3166-1-a2	BV
BW	ISO-3166-1-a2	BW
BY	ISO-3166-1-a2	BY
BZ	ISO-3166-1-a2	BZ
CA	ISO-3166-1-a2	CA
CC	ISO-3166-1-a2	CC
CD	ISO-3166-1-a2	CD
CF	ISO-3166-1-a2	CF
CG	ISO-3166-1-a2	CG
CH	ISO-3166-1-a2	CH
CI	ISO-3166-1-a2	CI
CK	ISO-3166-1-a2	CK
CL	ISO-3166-1-a2	CL
CM	ISO-3166-1-a2	CM
CN	ISO-3166-1-a2	CN
CO	ISO-3166-1-a2	CO
CR	ISO-3166-1-a2	CR
CU	ISO-3166-1-a2	CU
CV	ISO-3166-1-a2	CV
CW	ISO-3166-1-a2	CW
CX	ISO-3166-1-a2	CX
CY	ISO-3166-1-a2	CY
CZ	ISO-3166-1-a2	CZ
DE	ISO-3166-1-a2	DE
DJ	ISO-3166-1-a2	DJ
DK	ISO-3166-1-a2	DK
DM	ISO-3166-1-a2	DM
DO	ISO-3166-1-a2	DO
DZ	ISO-3166-1-a2	DZ
EC	ISO-3166-1-a2	EC
EE	ISO-3166-1-a2	EE
EG	ISO-3166-1-a2	EG
EH	ISO-3166-1-a2	EH
ER	ISO-3166-1-a2	ER
ES	ISO-3166-1-a2	ES
ET	ISO-3166-1-a2	ET
FI	ISO-3166-1-a2	FI
FJ	ISO-3166-1-a2	FJ
FK	ISO-3166-1-a2	FK
FM	ISO-3166-1-a2	FM
FO	ISO-3166-1-a2	FO
FR	ISO-3166-1-a2	FR
GA	ISO-3166-1-a2	GA
GB	ISO-3166-1-a2	GB
GD	ISO-3166-1-a2	GD
GE	ISO-3166-1-a2	GE
GF	ISO-3166-1-a2	GF
GG	ISO-3166-1-a2	GG
GH	ISO-3166-1-a2	GH
GI	ISO-3166-1-a2	GI
GL	ISO-3166-1-a2	GL
GM	ISO-3166-1-a2	GM
GN	ISO-3166-1-a2	GN
GP	ISO-3166-1-a2	GP
GQ	ISO-3166-1-a2	GQ
GR	ISO-3166-1-a2	GR
GS	ISO-3166-1-a2	GS
GT	ISO-3166-1-a2	GT
GU	ISO-3166-1-a2	GU
GW	ISO-3166-1-a2	GW
GY	ISO-3166-1-a2	GY
HK	ISO-3166-1-a2	HK
HM	ISO-3166-1-a2	HM
HN	ISO-3166-1-a2	HN
HR	ISO-3166-1-a2	HR
HT	ISO-3166-1-a2	HT
HU	ISO-3166-1-a2	HU
ID	ISO-3166-1-a2	ID
IE	ISO-3166-1-a2	IE
IL	ISO-3166-1-a2	IL
IM	ISO-3166-1-a2	IM
IN	ISO-3166-1-a2	IN
IO	ISO-3166-1-a2	IO
IQ	ISO-3166-1-a2	IQ
IR	ISO-3166-1-a2	IR
IS	ISO-3166-1-a2	IS
IT	ISO-3166-1-a2	IT
JE	ISO-3166-1-a2	JE
JM	ISO-3166-1-a2	JM
JO	ISO-3166-1-a2	JO
JP	ISO-3166-1-a2	JP
KE	ISO-3166-1-a2	KE
KG	ISO-3166-1-a2	KG
KH	ISO-3166-1-a2	KH
KI	ISO-3166-1-a2	KI
KM	ISO-3166-1-a2	KM
KN	ISO-3166-1-a2	KN
KP	ISO-3166-1-a2	KP
KR	ISO-3166-1-a2	KR
KW	ISO-3166-1-a2	KW
KY	ISO-3166-1-a2	KY
KZ	ISO-3166-1-a2	KZ
LA	ISO-3166-1-a2	LA
LB	ISO-3166-1-a2	LB
LC	ISO-3166-1-a2	LC
LI	ISO-3166-1-a2	LI
LK	ISO-3166-1-a2	LK
LR	ISO-3166-1-a2	LR
LS	ISO-3166-1-a2	LS
LT	ISO-3166-1-a2	LT
LU	ISO-3166-1-a2	LU
LV	ISO-3166-1-a2	LV
LY	ISO-3166-1-a2	LY
