UID	Key	Value
ES-PV-BI-001	pob-2000-female	3424
ES-PV-BI-001	pob-2000-male	3427
ES-PV-BI-001	pob-2001-female	3418
ES-PV-BI-001	pob-2001-male	3423
ES-PV-BI-001	pob-2002-female	3469
ES-PV-BI-001	pob-2002-male	3485
ES-PV-BI-001	pob-2003-female	3487
ES-PV-BI-001	pob-2003-male	3509
ES-PV-BI-001	pob-2004-female	3509
ES-PV-BI-001	pob-2004-male	3522
ES-PV-BI-001	pob-2005-female	3534
ES-PV-BI-001	pob-2005-male	3595
ES-PV-BI-001	pob-2006-female	3553
ES-PV-BI-001	pob-2006-male	3610
ES-PV-BI-001	pob-2007-female	3546
ES-PV-BI-001	pob-2007-male	3594
ES-PV-BI-001	pob-2008-female	3580
ES-PV-BI-001	pob-2008-male	3617
ES-PV-BI-001	pob-2009-female	3613
ES-PV-BI-001	pob-2009-male	3647
ES-PV-BI-001	pob-2010-female	3657
ES-PV-BI-001	pob-2010-male	3653
ES-PV-BI-001	pob-2011-female	3681
ES-PV-BI-001	pob-2011-male	3631
ES-PV-BI-001	pob-2012-female	3721
ES-PV-BI-001	pob-2012-male	3664
ES-PV-BI-001	pob-2013-female	3761
ES-PV-BI-001	pob-2013-male	3697
ES-PV-BI-001	pob-2014-female	3779
ES-PV-BI-001	pob-2014-male	3725
ES-PV-BI-001	pob-2015-female	3771
ES-PV-BI-001	pob-2015-male	3745
ES-PV-BI-001	pob-2016-female	3763
ES-PV-BI-001	pob-2016-male	3770
ES-PV-BI-001	pob-1998-female	3400
ES-PV-BI-001	pob-1998-male	3420
ES-PV-BI-001	pob-1999-female	3418
ES-PV-BI-001	pob-1999-male	3440
